period,stateid,stateDescription,sectorid,sectorName,price,price-units
2023-12,HI,Hawaii,TRA,transportation,0,cents per kilowatt-hour
2023-12,ID,Idaho,ALL,all sectors,9.46,cents per kilowatt-hour
2023-12,ID,Idaho,COM,commercial,8.88,cents per kilowatt-hour
2023-12,ID,Idaho,IND,industrial,6.21,cents per kilowatt-hour
2023-12,ID,Idaho,OTH,other,,cents per kilowatt-hour
2023-12,ID,Idaho,RES,residential,11.53,cents per kilowatt-hour
2023-12,ID,Idaho,TRA,transportation,0,cents per kilowatt-hour
2023-12,IL,Illinois,ALL,all sectors,11.25,cents per kilowatt-hour
2023-12,IL,Illinois,COM,commercial,10.72,cents per kilowatt-hour
2023-12,IL,Illinois,IND,industrial,8.1,cents per kilowatt-hour
2023-12,IL,Illinois,OTH,other,,cents per kilowatt-hour
2023-12,IL,Illinois,RES,residential,14.84,cents per kilowatt-hour
2023-12,IL,Illinois,TRA,transportation,7.29,cents per kilowatt-hour
2023-12,IN,Indiana,ALL,all sectors,11.28,cents per kilowatt-hour
2023-12,IN,Indiana,COM,commercial,12.53,cents per kilowatt-hour
2023-12,IN,Indiana,IND,industrial,7.87,cents per kilowatt-hour
2023-12,IN,Indiana,OTH,other,,cents per kilowatt-hour
2023-12,IN,Indiana,RES,residential,14.58,cents per kilowatt-hour
2023-12,IN,Indiana,TRA,transportation,11.56,cents per kilowatt-hour
2023-12,IA,Iowa,ALL,all sectors,8.42,cents per kilowatt-hour
2023-12,IA,Iowa,COM,commercial,9.19,cents per kilowatt-hour
2023-12,IA,Iowa,IND,industrial,5.97,cents per kilowatt-hour
2023-12,IA,Iowa,OTH,other,,cents per kilowatt-hour
2023-12,IA,Iowa,RES,residential,11.95,cents per kilowatt-hour
2023-12,IA,Iowa,TRA,transportation,0,cents per kilowatt-hour
2023-12,KS,Kansas,ALL,all sectors,10.16,cents per kilowatt-hour
2023-12,KS,Kansas,COM,commercial,10.27,cents per kilowatt-hour
2023-12,KS,Kansas,IND,industrial,7.14,cents per kilowatt-hour
2023-12,KS,Kansas,OTH,other,,cents per kilowatt-hour
2023-12,KS,Kansas,RES,residential,12.72,cents per kilowatt-hour
2023-12,KS,Kansas,TRA,transportation,0,cents per kilowatt-hour
2023-12,KY,Kentucky,ALL,all sectors,9.88,cents per kilowatt-hour
2023-12,KY,Kentucky,COM,commercial,11.53,cents per kilowatt-hour
2023-12,KY,Kentucky,IND,industrial,6.36,cents per kilowatt-hour
2023-12,KY,Kentucky,OTH,other,,cents per kilowatt-hour
2023-12,KY,Kentucky,RES,residential,12.34,cents per kilowatt-hour
2023-12,KY,Kentucky,TRA,transportation,0,cents per kilowatt-hour
2023-12,LA,Louisiana,ALL,all sectors,8.69,cents per kilowatt-hour
2023-12,LA,Louisiana,COM,commercial,10.75,cents per kilowatt-hour
2023-12,LA,Louisiana,IND,industrial,5.84,cents per kilowatt-hour
2023-12,LA,Louisiana,OTH,other,,cents per kilowatt-hour
2023-12,LA,Louisiana,RES,residential,11.21,cents per kilowatt-hour
2023-12,LA,Louisiana,TRA,transportation,11.22,cents per kilowatt-hour
2023-12,ME,Maine,ALL,all sectors,22.14,cents per kilowatt-hour
2023-12,ME,Maine,COM,commercial,19.04,cents per kilowatt-hour
2023-12,ME,Maine,IND,industrial,13.7,cents per kilowatt-hour
2023-12,ME,Maine,OTH,other,,cents per kilowatt-hour
2023-12,ME,Maine,RES,residential,27.99,cents per kilowatt-hour
2023-12,ME,Maine,TRA,transportation,0,cents per kilowatt-hour
2023-12,MD,Maryland,ALL,all sectors,14.96,cents per kilowatt-hour
2023-12,MD,Maryland,COM,commercial,12.84,cents per kilowatt-hour
2023-12,MD,Maryland,IND,industrial,10.17,cents per kilowatt-hour
2023-12,MD,Maryland,OTH,other,,cents per kilowatt-hour
2023-12,MD,Maryland,RES,residential,17.46,cents per kilowatt-hour
2023-10,WY,Wyoming,IND,industrial,7.47,cents per kilowatt-hour
2023-10,WY,Wyoming,OTH,other,,cents per kilowatt-hour
2023-10,WY,Wyoming,RES,residential,12.49,cents per kilowatt-hour
2023-10,WY,Wyoming,TRA,transportation,0,cents per kilowatt-hour
2023-10,NEW,New England,ALL,all sectors,22.02,cents per kilowatt-hour
2023-10,NEW,New England,COM,commercial,19.19,cents per kilowatt-hour
2023-10,NEW,New England,IND,industrial,15.77,cents per kilowatt-hour
2023-10,NEW,New England,OTH,other,,cents per kilowatt-hour
2023-10,NEW,New England,RES,residential,28.05,cents per kilowatt-hour
2023-10,NEW,New England,TRA,transportation,10.94,cents per kilowatt-hour
2023-10,MAT,Middle Atlantic,ALL,all sectors,15.22,cents per kilowatt-hour
2023-10,MAT,Middle Atlantic,COM,commercial,15.61,cents per kilowatt-hour
2023-10,MAT,Middle Atlantic,IND,industrial,7.72,cents per kilowatt-hour
2023-10,MAT,Middle Atlantic,OTH,other,,cents per kilowatt-hour
2023-10,MAT,Middle Atlantic,RES,residential,19.67,cents per kilowatt-hour
2023-10,MAT,Middle Atlantic,TRA,transportation,14.21,cents per kilowatt-hour
2023-10,ENC,East North Central,ALL,all sectors,11.8,cents per kilowatt-hour
2023-10,ENC,East North Central,COM,commercial,11.94,cents per kilowatt-hour
2023-10,ENC,East North Central,IND,industrial,7.86,cents per kilowatt-hour
2023-10,ENC,East North Central,OTH,other,,cents per kilowatt-hour
2023-10,ENC,East North Central,RES,residential,16.51,cents per kilowatt-hour
2023-10,ENC,East North Central,TRA,transportation,7.35,cents per kilowatt-hour
2023-10,WNC,West North Central,ALL,all sectors,10.03,cents per kilowatt-hour
2023-10,WNC,West North Central,COM,commercial,9.99,cents per kilowatt-hour
2023-10,WNC,West North Central,IND,industrial,7.4,cents per kilowatt-hour
2023-10,WNC,West North Central,OTH,other,,cents per kilowatt-hour
2023-10,WNC,West North Central,RES,residential,13.22,cents per kilowatt-hour
2023-10,WNC,West North Central,TRA,transportation,12.44,cents per kilowatt-hour
2023-10,SAT,South Atlantic,ALL,all sectors,11.91,cents per kilowatt-hour
2023-10,SAT,South Atlantic,COM,commercial,10.86,cents per kilowatt-hour
